发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数,verified_reason,description
海淀体育,05月24日20:06,来自iPhoneXSMax, #海淀区体育局# #体育#致敬国士！回顾袁隆平生前的体育情结“共和国勋章”获得者、中国工程院院士、国家杂交水稻工程技术研究中心主任、湖南省政协原副主席袁隆平，因多器官功能衰竭，于2021年5月22日13时07分在长沙逝世，享年91岁。中国工程院院士、“世界杂交水稻之父”袁隆平去世的消息令人惋惜不已。今天，我们通过一篇文章回顾袁老生前的体育情结，看这位热爱游泳和气排球的农业学家是如何从体育运动中获得满满的正能量、为祖国健康工作数十年的。“过去我在70岁前，是每天游泳的，一直游到70岁……”这位在70岁前坚持每天游泳的老人，就是“中国杂交水稻之父”袁隆平。青年时代的袁隆平曾考上过空军，也曾获得过武汉市的游泳冠军。虽然没有走上职业运动员的道路，但他终其一生都是一位体育爱好者。O致敬国士！回顾袁隆平生前的体育情结  ,0,0,0,1,北京市海淀区体育局官方微博,本微博是海淀体育局的全民健身官方微博，联系合作邮箱：haidiantiyu@126.com
新浪汽车,05月22日20:43,来自微博weibo.com, 【#联合国悼念袁隆平#：国士无双，一路走好】,0,3,1,33,新浪汽车,新鲜的汽车资讯； 快速的新车报道； 全面的车型数据； 及时的车型报价； 丰富的汽车活动。
吉林共青团,05月23日08:05,来自微博视频号, 【#送别国之脊梁袁隆平#】根据#袁隆平丧事从简#遗愿，#殡仪馆不接待群众悼念袁隆平#。“非常感谢大家对袁隆平院士的哀悼和对家属的慰问。”袁隆平院士家属说。L吉林共青团的微博视频​,0,4,2,94,共青团吉林省委员会官方微博,共青团吉林省委官方微博，为吉林全体青年搭建活动交流平台，更好的组织青年、引导青年、服务青年和维护青少年合法权益。＠吉林共青团，让我们与青春…
大连火车站,05月23日16:44,来自微博weibo.com, 【#航拍长沙市民送别袁隆平长队#】,0,0,0,0,中国铁路沈阳局集团有限公司大连站官方微博,及时发布大连火车站及大连北站始发列车调图信息、车次变更信息、节假日客流信息、票额信息等，以及遗失物品信息、乘车温馨小贴士等。
张凌赫全球粉丝后援会,05月22日17:23,来自张凌赫超话, 张凌赫【5月22日禁娱公告】今天对我们来说是沉重的一天，我们的国同失两位院士，“杂交水稻之父”袁隆平，“中国肝胆外科之父”吴孟超，致敬，缅怀！张凌赫全球粉丝后援会及所设所有职能组官号将于5月22日停更一日。⚠️禁娱期间请焊丝们遵守以下禁娱规则：❌不在任何平台发布带张凌赫tag的娱乐性帖子，发现不妥言论，可私信超话管理处理。❌谨慎发言，如遇不好的言论冷静处理，切勿引起纷争。❌面向所有娱乐性营销号微博，我们一律不参与转评赞。❌不带相关话题进行安利。⚪️签到类任务可以按照平常一样进行。⚠️若禁娱期间在超话发布娱乐性质的话题将进行屏蔽处理。⚠️逝者安息，希望焊丝们遵守规则，在此期间谨言慎行，互相配合监督。  ,0,7,29,55,张凌赫官方粉丝后援会,张凌赫官方粉丝后援会
兰州市粮食和物资储备局,05月22日20:58,来自iPhone客户端, #袁隆平病危之际还关心稻子长势#【袁隆平最后的时光：病危之际，还关心稻子长势】#袁隆平去世前两个月仍在工作#5月22日，13时07分，“杂交水稻之父”、“共和国勋章”获得者、中国工程院院士袁隆平因病医治无效，在长沙与世长辞，享年91岁。16时许，灵车缓缓驶出医院，路边聚集了闻讯前来送行的市民。司机停下车辆鸣笛，人们把鲜花捧在胸前，悲恸高呼：“袁爷爷，一路走好，一路走好！”#袁隆平未留下遗言#中南大学湘雅医院，病房里的橘色灯光下，合上双眼的袁老遗容安详平静，3个儿子给老人家盖上红绸毯。14时许，在家人陪伴下，袁老的妻子邓则进入病房，坐在一把椅子上，静静地陪着袁老遗体，面容悲戚。“老爷子没有留下遗言，但他还能讲话时，念念不忘的还是杂交水稻事业，希望弟子们把杂交水稻事业发展好，把杂交水稻推广好。”在中南大学湘雅医院的病房里，袁老的儿媳甘女士哽咽着告诉记者。#家人眼中的袁隆平#（新华社）O网页链接  ,0,0,0,0,兰州市粮食和物资储备局官方微博,
山西右玉反邪教,05月23日14:21,来自铀媒, 【#北京一网民侮辱袁隆平被刑拘#】,0,0,0,0,山西朔州市右玉县防范和处理邪教问题办公室官方微博,挖掘真善美 传递正能量
看度新闻,05月22日13:50,来自360安全浏览器, 【#袁隆平去世#默哀】“共和国勋章”获得者、中国工程院院士、国家杂交水稻工程技术研究中心主任、湖南省政协原副主席袁隆平，因多器官功能衰竭，于2021年5月22日13时07分在长沙逝世，享年91岁。袁隆平是我国研究与发展杂交水稻的开创者，也是世界上第一个成功地利用水稻杂种优势的科学家，被誉为“杂交水稻之父”。#袁隆平因多器官功能衰竭去世#2长沙  ,0,12,15,25,成都市广播电视台新媒体官方微博,专注新闻直播
微博热点,05月22日17:45,来自iPhoneXR, #袁隆平有哪些成就#每个人都知道袁隆平院士是中国粮食问题的大功臣。很少有人意识到的是，他也是中国乃至世界的环保英雄。,0,232,2,19,微博内容中心官方微博,微博内容中心官方微博
徽州反邪教,05月27日14:30,来自vivoX50Pro专业影像, 【#西部瓜王62年培育30多个瓜种#，谢谢吴奶奶！】#8424西瓜是这位奶奶培育的#吴明珠和袁隆平是西南农学院的同学，填分配志愿表时，吴明珠写下要到新疆、到祖国最需要的边疆去工作。62年里，吴明珠培育了30多个品种，包括甜瓜品种“皇后”、西瓜品种“8424”，为新疆及全国的甜瓜、西瓜事业作出了突出贡献。如今，91岁的吴明珠患有阿尔兹海默症，已经认不出人，但有关种瓜的记忆还在，有时候她突然要出门，嘟囔着瓜该授粉了。#中国人能自由吃瓜离不开这位奶奶#@人民日报O吴明珠：把瓜的甘甜献给人民  ,0,0,0,0,中共黄山市徽州区委政法委员会官方微博,传播正能量，全民反邪教，共建富裕和谐美丽现代化新徽州
安徽中医药大学团委AHUCM,05月22日15:25,来自vivoX60蔡司影像, #共和国痛失袁隆平院士#痛悼！今天13时07分，袁隆平老先生逝世，享年91岁。记住这位让中国人“端牢饭碗”的英雄。送别袁老！图文​​​｜央视新闻2合肥·安徽中医药大学少荃湖校区​,0,0,0,3,安徽中医药大学校团委官方微博,
凤凰网财经,05月22日14:45,来自微博weibo.com, 【痛别！中国“杂交水稻之父”袁隆平逝世】2021年5月22日13时07分，“共和国勋章”获得者、中国工程院院士、国家杂交水稻工程技术研究中心主任、湖南省政协原副主席袁隆平，因病逝世，享年91岁。O痛别！中国“杂交水稻之父”袁隆平逝世​,0,44,57,230,凤凰财经官方微博,离用户最近的财经媒体！
城关区检察院,05月22日19:28,来自iPhone客户端, 【#曾获袁隆平赠书的小学生再写信#：您的教诲，我会永记于心】#袁隆平逝世#得知袁隆平院士去世的消息，杭州市临平区乾元小学六年级的“爱稻男孩”苏陈峻，“难过得说不出话”，他写下：“袁爷爷，您一路走好，您的教诲，我会永记于心的。”就在去年11月，苏陈峻给袁隆平院士写过一封亲笔信，并且收到过袁隆平院士的点赞，袁隆平院士赠送他一本书《征战超级稻》。乾元小学的文化就是耕读文化，学校一直在做农耕传统文化，通过学校课程和德育活动、家校活动等进行农耕传统文化教育。‍‍‍浸润在学校的“耕读”文化中，苏陈峻心中的“水稻梦”逐渐发芽。去年11月的一天，他写信寄给自己最敬仰的袁隆平爷爷，希望以袁隆平爷爷为榜样，引领自己不断成长，实现梦想。令他没有想到的是，寄给袁隆平爷爷的信收到了回复！（闪电新闻）L闪电新闻的微博视频  ,0,0,0,0,兰州市城关区人民检察院,检察官，只为公正而起立！
江西都市广播FM1065,05月24日17:27,来自HUAWEInova3i, 【#外交部称袁隆平逝世是中国和世界巨大损失#：#赵立坚称袁隆平的梦想一定会成为现实#】,0,0,0,0,江西人民广播电台都市频率,江西都市广播FM106.5，全省开播最早的专业广播是唯一覆盖全省的都市类广播，拥有稳定听众1600万，同时覆盖全省4400万人群。江西都市广播围绕都市生…
陇南文县发布,05月22日17:46,来自vivoX60蔡司影像, #陇南党史学习教育# #长征路上加油站#『痛别！中国“杂交水稻之父”袁隆平逝世_新闻频道_央视网(cctv.com)』O痛别！中国“杂交水稻之父”袁隆平逝世​,0,0,0,0,甘肃省陇南市文县县委宣传部官方微博,文县互联网信息办官方微博
新浪军事,05月22日18:54,来自微博发布平台专业版, 【#联合国粮农组织悼念袁老#】今天，共和国痛失袁隆平院士。联合国粮农组织总干事屈冬玉发文悼念:“一生修道杂交稻，万家食粮中国粮。我敬爱的大师千古！”#长沙市民雨中送别袁隆平#​,0,22,9,280,新浪军事官方微博,播报最热军事资讯，介绍武器装备、各国军队、军事历史等军事知识。私信开放，欢迎投稿！
吉林共青团,05月26日16:43,来自微博视频号, #吉团分享#【#长沙520架无人机拼图缅怀袁老#】5月25日，湖南长沙520架无人机在空中用一幅幅彩色画悼念袁隆平院士。静谧的夜空中，无人机拼成杂交水稻的图形，重现袁隆平院士在稻田边工作的场景。L吉林共青团的微博视频​,0,1,0,8,共青团吉林省委员会官方微博,共青团吉林省委官方微博，为吉林全体青年搭建活动交流平台，更好的组织青年、引导青年、服务青年和维护青少年合法权益。＠吉林共青团，让我们与青春…
山西临汾尧都区反邪教,05月23日18:43,来自铀媒, 【#送别袁隆平的鲜花汇成了海#网友：从此以后，碗中有米，心中有您】今天，长沙小雨，民众自发送别袁隆平。鲜花汇成了海洋，#学生写给袁隆平的书信#上，已分不清是雨滴还是泪滴“听着您故事的孩童长大了，我们会顶起国家的未来”；“我们会继续努力，做到‘医食无忧’”…袁爷爷，您放心！,0,0,0,0,尧都反邪教官方微博,崇尚科学，反对邪教，构建和谐，促进发展。
新闻晨报,05月22日16:42,来自微博weibo.com, 【#侮辱攻击袁隆平账号被关号一年#】5月22日13时许，新浪微博社区管理官方微博发布消息称，22日站方发现有部分账号借有关媒体误报道有关袁隆平院士的不实信息之时，在微博内发布传播针对功勋英雄人物的谣言、侮辱攻击等内容，造成了恶劣的社会影响。对此，@微博管理员宣布，站方依据《微博社区公约》等相关规定，已对以下涉事账号：@Apicort尚未发生@画家蒋林音@IShtaRose做出关闭账号一年的处置，后续的进一步处罚，将依据相关法律法规进行研判。  ,0,33,89,343,《新闻晨报》官方微博,新媒体合作：QQ2549671421； 曝料热线：021-63529999 ； 客服热线：8008190000、4006200000
陇南文县政法,05月22日14:46,来自nova8Pro我由我掌镜, #袁隆平逝世#痛悼！共和国痛失袁隆平院士，今天13时07分，袁隆平逝世，享年91岁。记住这位让中国人“端牢饭碗”的英雄。送别袁老！​,0,0,0,0,中国共产党文县委员会政法委员会官方微博,
